orderid,latitude,longitude,estimateddeliverytime
1552956,37.361947299999997,-122.04947850000001,126
1553147,37.7715034,-122.4293278,115
1553257,37.732543,-122.397569,1334
1553309,37.477608400000001,-122.22394439999999,264
1553330,37.787607000000001,-122.210319,186
1553317,37.578972899999997,-122.3504646,158
1553338,37.782704299999999,-122.3968165,237
1553676,37.486752600000003,-122.22719429999999,158
1553590,37.8137519,-122.24909630000001,122
1553573,32.746481600000003,-117.15827880000001,36
1553635,37.391408699999999,-122.09643440000001,59
1553549,32.713646500000003,-117.1095115,153
1553727,37.373285899999999,-122.10594279999999,351
1553741,37.807741100000001,-122.2760894,102
1553756,37.720810800000002,-122.4839662,222
1553761,32.731374099999996,-117.1689176,140
1553792,37.759069099999998,-122.4845823,249
1554045,37.800414099999998,-122.251679,296
1554101,37.875267999999998,-122.2651496,480
1554065,37.801496,-122.24944499999999,242
1554198,32.785747999999998,-117.1085947,1139
1553837,36.970253499999998,-121.958384,1
1554062,32.744766599999998,-117.1626203,174
1554304,37.382844300000002,-122.0425034,1828
1554442,37.803928399999997,-122.2622947,296
1554397,37.782651299999998,-122.4671786,191
1554374,37.776682399999999,-122.4992464,49
1554615,37.692549999999997,-122.4660961,137
1554435,33.847295000000003,-118.38727400000001,71
1554632,37.557442399999999,-122.2973629,241
1554619,37.846212000000001,-122.2929792,197
1554853,37.779103800000001,-122.3971379,204
1554724,37.4839178,-122.22660860000001,329
1554773,37.865318000000002,-122.2578954,364
1554754,37.668896199999999,-122.41018219999999,242
1554789,37.786274300000002,-122.4075642,1805
1555063,37.857173400000001,-122.25226000000001,211
1555146,37.655831399999997,-122.0867751,23
1555114,37.814762100000003,-122.2679179,0
1555109,37.779625199999998,-122.4066529,34
1555125,37.394235199999997,-121.94596230000001,134
1555184,37.712660399999997,-122.4127883,14
1555213,37.342490099999999,-121.8518435,49
1555271,37.763125799999997,-122.16722799999999,361
1555303,37.7030028,-122.45226,608
1555350,37.337779300000001,-122.0410423,131
1555338,37.686228399999997,-122.1305237,301
1555359,37.771127999999997,-122.2578353,0
1555334,33.905531000000003,-117.91931700000001,309
1555423,34.034312499999999,-118.4944541,24
1555446,34.0270978,-118.5143597,15
1555539,37.269146900000003,-121.807603,47
1555594,37.748489599999999,-122.3869771,1218
1555655,37.779336999999998,-122.4247567,88
1555786,37.788330199999997,-122.1892649,304
1555801,37.369627999999999,-121.9906495,216
1555857,37.798374600000002,-122.40407070000001,1131
1555870,37.781678800000002,-122.4169867,149
1555879,34.006870599999999,-118.4125782,3
1555806,33.647676599999997,-117.9316041,51
1555900,36.9585984,-122.04255759999999,69
1555956,32.869611499999998,-117.22105790000001,229
1556036,34.025736199999997,-118.4757475,95
1556094,37.290609400000001,-121.80233990000001,10
1556095,37.484642299999997,-122.196348,836
1556103,37.742009099999997,-122.5020538,215
1556140,37.379534,-122.07504900000001,312
1556231,37.874983200000003,-122.2690588,131
1556280,37.303646700000002,-122.0047445,984
1556337,37.415723999999997,-122.1279983,2
1552617,37.771845800000001,-122.4340589,122
1552632,37.383711099999999,-122.0756892,195
1552749,37.677605399999997,-122.10146520000001,138
1552758,37.405777100000002,-122.06281540000001,123
1552814,37.445133599999998,-122.22797799999999,167
1552986,37.396383,-121.95543840000001,143
1552884,37.751770100000002,-122.49407669999999,231
1552932,37.825534400000002,-122.2814367,60
1553017,37.762074499999997,-122.41802149999999,187
1553020,37.471606199999997,-122.2387476,36
1553214,37.471204999999998,-122.230273,42
1553304,37.750899400000002,-122.4068953,112
1553204,37.839178599999997,-122.3035667,124
1553234,37.621460499999998,-122.0994748,0
1553162,37.342247499999999,-122.01625420000001,138
1553251,37.680782999999998,-122.47696000000001,16
1553404,37.790504300000002,-122.218025,190
1553364,37.7884472,-122.22838779999999,68
